year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,1.49704e+08,120319,0,0,0
2,2.99329e+08,513120,0,1.43911e+07,1.43911e+07
3,4.48847e+08,1.24e+06,0,4.77229e+07,4.77229e+07
4,5.98301e+08,1.9587e+06,8.66405e-10,9.96965e+07,9.96965e+07
5,7.48012e+08,3.1601e+06,1.55951e+06,1.68422e+08,1.68422e+08
6,8.97638e+08,4.7184e+06,6.75797e+06,2.51482e+08,2.51482e+08
7,1.04729e+09,6.23317e+06,1.76809e+07,3.46406e+08,3.46406e+08
8,1.19678e+09,8.19382e+06,3.6402e+07,4.45966e+08,4.45966e+08
9,1.34617e+09,1.05764e+07,6.49888e+07,5.52428e+08,5.52428e+08
10,1.4955e+09,1.3006e+07,1.03978e+08,6.65029e+08,6.65029e+08
11,1.6448e+09,1.58357e+07,1.52819e+08,7.83918e+08,7.83918e+08
12,1.7941e+09,1.87272e+07,2.11597e+08,9.08542e+08,9.08542e+08
13,1.9434e+09,2.20236e+07,2.80237e+08,1.03837e+09,1.03837e+09
14,2.09299e+09,2.55658e+07,3.58723e+08,1.1732e+09,1.1732e+09
15,2.24255e+09,2.92402e+07,4.47136e+08,1.30754e+09,1.30754e+09
16,2.39196e+09,3.36122e+07,5.45888e+08,1.44531e+09,1.44531e+09
17,2.5412e+09,3.75516e+07,6.55098e+08,1.58608e+09,1.58608e+09
18,2.69042e+09,4.22393e+07,7.74173e+08,1.72985e+09,1.72985e+09
19,2.83954e+09,4.71384e+07,9.03117e+08,1.87602e+09,1.87602e+09
20,2.98931e+09,5.227e+07,1.042e+09,2.02405e+09,2.02405e+09
21,3.13849e+09,5.71012e+07,1.19065e+09,2.16881e+09,2.16881e+09
22,3.28791e+09,6.23208e+07,1.34911e+09,2.31452e+09,2.31452e+09
23,3.43732e+09,6.81458e+07,1.51779e+09,2.46001e+09,2.46001e+09
24,3.58701e+09,7.36839e+07,1.69606e+09,2.60551e+09,2.60551e+09
25,3.73661e+09,7.99611e+07,1.88375e+09,2.75053e+09,2.75053e+09
26,3.88628e+09,8.61642e+07,2.08083e+09,2.8945e+09,2.8945e+09
27,4.03594e+09,9.64048e+07,2.27983e+09,3.02315e+09,3.01329e+09
28,4.1854e+09,1.07677e+08,2.47824e+09,3.1479e+09,3.12818e+09
29,4.3347e+09,1.18586e+08,2.67682e+09,3.27776e+09,3.24818e+09
30,4.48415e+09,1.30196e+08,2.87543e+09,3.41288e+09,3.37344e+09
31,4.48415e+09,1.4151e+08,3.0735e+09,3.54883e+09,3.4995e+09
32,4.48415e+09,1.52467e+08,3.27159e+09,3.67058e+09,3.61139e+09
33,4.48415e+09,1.63949e+08,3.47262e+09,3.7774e+09,3.70835e+09
34,4.48415e+09,1.75035e+08,3.67422e+09,3.86504e+09,3.78611e+09
35,4.48415e+09,1.86584e+08,3.87483e+09,3.9403e+09,3.8515e+09
36,4.48415e+09,1.98066e+08,4.07337e+09,4.00456e+09,3.9059e+09
37,4.48415e+09,2.09483e+08,4.26718e+09,4.05587e+09,3.94734e+09
38,4.48415e+09,2.20887e+08,4.45438e+09,4.10134e+09,3.98293e+09
39,4.48415e+09,2.3203e+08,4.63324e+09,4.14294e+09,4.01466e+09
40,4.48415e+09,2.43296e+08,4.80573e+09,4.18091e+09,4.04276e+09
41,4.48415e+09,2.54539e+08,4.96944e+09,4.21118e+09,4.06317e+09
42,4.48415e+09,2.66039e+08,5.12482e+09,4.23848e+09,4.0806e+09
43,4.48415e+09,2.77803e+08,5.2719e+09,4.26315e+09,4.09539e+09
44,4.48415e+09,2.88826e+08,5.41018e+09,4.28123e+09,4.1036e+09
45,4.48415e+09,3.00423e+08,5.54018e+09,4.29746e+09,4.10994e+09
46,4.48415e+09,3.11701e+08,5.66433e+09,4.31164e+09,4.11426e+09
47,4.48415e+09,3.2322e+08,5.77962e+09,4.32037e+09,4.11314e+09
48,4.48415e+09,3.34213e+08,5.88607e+09,4.32888e+09,4.11178e+09
49,4.48415e+09,3.45936e+08,5.98423e+09,4.33709e+09,4.11013e+09
50,4.48415e+09,3.56867e+08,6.07352e+09,4.34121e+09,4.1044e+09
51,4.48415e+09,3.68e+08,6.15395e+09,4.34659e+09,4.09993e+09
52,4.48415e+09,3.79202e+08,6.2261e+09,4.35298e+09,4.09645e+09
53,4.48415e+09,3.90543e+08,6.29199e+09,4.36075e+09,4.09437e+09
54,4.48415e+09,4.01134e+08,6.34683e+09,4.36651e+09,4.09028e+09
55,4.48415e+09,4.12464e+08,6.39128e+09,4.37027e+09,4.08415e+09
56,4.48415e+09,4.23212e+08,6.42785e+09,4.37702e+09,4.08105e+09
57,4.48415e+09,4.34211e+08,6.46342e+09,4.38568e+09,4.07983e+09
58,4.48415e+09,4.45149e+08,6.49804e+09,4.39148e+09,4.07576e+09
59,4.48415e+09,4.56695e+08,6.53409e+09,4.39873e+09,4.07316e+09
60,4.48415e+09,4.675e+08,6.56912e+09,4.40783e+09,4.0724e+09
61,4.48415e+09,4.78431e+08,6.60266e+09,4.41465e+09,4.06933e+09
62,4.48415e+09,4.89577e+08,6.63764e+09,4.4228e+09,4.06762e+09
63,4.48415e+09,5.00392e+08,6.67212e+09,4.43237e+09,4.06732e+09
64,4.48415e+09,5.11517e+08,6.70564e+09,4.43912e+09,4.0642e+09
65,4.48415e+09,5.22088e+08,6.73818e+09,4.44792e+09,4.06316e+09
66,4.48415e+09,5.33048e+08,6.7727e+09,4.45759e+09,4.06297e+09
67,4.48415e+09,5.44281e+08,6.80621e+09,4.46447e+09,4.05999e+09
68,4.48415e+09,5.55683e+08,6.83874e+09,4.47334e+09,4.05899e+09
69,4.48415e+09,5.66145e+08,6.87324e+09,4.48312e+09,4.05889e+09
70,4.48415e+09,5.77093e+08,6.90676e+09,4.49014e+09,4.05607e+09
71,4.48415e+09,5.87669e+08,6.93928e+09,4.49916e+09,4.05522e+09
72,4.48415e+09,5.98305e+08,6.97379e+09,4.50909e+09,4.0553e+09
73,4.48415e+09,6.09076e+08,7.00728e+09,4.51619e+09,4.05252e+09
74,4.48415e+09,6.19884e+08,7.03976e+09,4.52537e+09,4.05182e+09
75,4.48415e+09,6.30617e+08,7.07423e+09,4.53548e+09,4.05205e+09
76,4.48415e+09,6.41183e+08,7.10775e+09,4.54752e+09,4.05424e+09
77,4.48415e+09,6.51374e+08,7.14026e+09,4.55673e+09,4.05358e+09
78,4.48415e+09,6.62261e+08,7.17236e+09,4.5675e+09,4.05449e+09
79,4.48415e+09,6.73374e+08,7.20645e+09,4.5792e+09,4.0563e+09
80,4.48415e+09,6.84049e+08,7.24198e+09,4.58746e+09,4.0547e+09
81,4.48415e+09,6.94667e+08,7.27705e+09,4.60194e+09,4.05932e+09
82,4.48415e+09,7.05162e+08,7.31166e+09,4.61296e+09,4.06048e+09
83,4.48415e+09,7.16056e+08,7.3477e+09,4.62529e+09,4.06292e+09
84,4.48415e+09,7.26898e+08,7.38329e+09,4.63896e+09,4.06674e+09
85,4.48415e+09,7.37943e+08,7.41842e+09,4.64913e+09,4.06704e+09
86,4.48415e+09,7.48201e+08,7.45551e+09,4.66016e+09,4.06822e+09
87,4.48415e+09,7.58692e+08,7.49213e+09,4.6725e+09,4.0707e+09
88,4.48415e+09,7.6939e+08,7.52831e+09,4.68135e+09,4.0697e+09
89,4.48415e+09,7.79838e+08,7.56593e+09,4.69159e+09,4.07008e+09
90,4.48415e+09,7.90267e+08,7.60306e+09,4.70308e+09,4.0717e+09
91,4.48415e+09,8.01016e+08,7.63922e+09,4.71161e+09,4.07037e+09
92,4.48415e+09,8.11355e+08,7.67684e+09,4.72147e+09,4.07038e+09
93,4.48415e+09,8.21698e+08,7.714e+09,4.73253e+09,4.07156e+09
94,4.48415e+09,8.32391e+08,7.7502e+09,4.74064e+09,4.0698e+09
95,4.48415e+09,8.42949e+08,7.78781e+09,4.75002e+09,4.06929e+09
96,4.48415e+09,8.53351e+08,7.82493e+09,4.76076e+09,4.07016e+09
97,4.48415e+09,8.64147e+08,7.86106e+09,4.76854e+09,4.06809e+09
98,4.48415e+09,8.74436e+08,7.89863e+09,4.77763e+09,4.0673e+09
99,4.48415e+09,8.84611e+08,7.93574e+09,4.78793e+09,4.06773e+09
100,4.48415e+09,8.9498e+08,7.97186e+09,4.79527e+09,4.0652e+09
