year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,1.49672e+08,3.96721e+06,0,0,7.03585e+07
2,2.99002e+08,1.57014e+07,0,1.44006e+07,1.78393e+08
3,4.48584e+08,3.36126e+07,0,4.77444e+07,3.05444e+08
4,5.97924e+08,5.63026e+07,8.65058e-10,9.97098e+07,4.51099e+08
5,7.47664e+08,8.34812e+07,1.56023e+06,1.68445e+08,6.13629e+08
6,8.97242e+08,1.14168e+08,6.7586e+06,2.51464e+08,7.90296e+08
7,1.04692e+09,1.46668e+08,1.76804e+07,3.46387e+08,9.5551e+08
8,1.19642e+09,1.81542e+08,3.63952e+07,4.459e+08,1.14865e+09
9,1.34599e+09,2.18229e+08,6.49919e+07,5.52406e+08,1.34883e+09
10,1.49557e+09,2.55818e+08,1.03959e+08,6.65021e+08,1.55514e+09
11,1.64521e+09,2.9426e+08,1.5286e+08,7.83807e+08,1.76758e+09
12,1.79485e+09,3.33439e+08,2.11634e+08,9.08377e+08,1.98584e+09
13,1.94451e+09,3.74142e+08,2.80286e+08,1.0383e+09,2.20955e+09
14,2.09388e+09,4.15785e+08,3.58816e+08,1.17302e+09,2.41459e+09
15,2.24322e+09,4.57033e+08,4.4719e+08,1.30735e+09,2.64267e+09
16,2.3927e+09,4.99348e+08,5.45978e+08,1.44524e+09,2.8743e+09
17,2.54239e+09,5.41172e+08,6.55187e+08,1.58599e+09,3.10871e+09
18,2.69205e+09,5.84188e+08,7.74255e+08,1.7297e+09,3.34614e+09
19,2.84146e+09,6.25874e+08,9.03226e+08,1.87586e+09,3.58611e+09
20,2.99108e+09,6.68314e+08,1.04204e+09,2.02398e+09,3.8045e+09
21,3.14047e+09,7.12375e+08,1.1908e+09,2.16848e+09,4.04267e+09
22,3.28961e+09,7.5578e+08,1.34932e+09,2.31401e+09,4.28195e+09
23,3.4389e+09,7.98672e+08,1.51802e+09,2.45952e+09,4.52111e+09
24,3.58855e+09,8.42451e+08,1.69628e+09,2.605e+09,4.76021e+09
25,3.73786e+09,8.85902e+08,1.88399e+09,2.74997e+09,4.99897e+09
26,3.88747e+09,9.2936e+08,2.08102e+09,2.894e+09,5.23669e+09
27,4.03692e+09,9.75652e+08,2.28008e+09,3.02258e+09,5.42564e+09
28,4.18622e+09,1.02393e+09,2.47858e+09,3.14736e+09,5.63424e+09
29,4.33559e+09,1.07171e+09,2.67717e+09,3.27727e+09,5.84803e+09
30,4.48504e+09,1.12135e+09,2.87573e+09,3.41226e+09,6.06677e+09
31,4.63444e+09,1.17046e+09,3.07375e+09,3.54816e+09,6.28663e+09
32,4.78397e+09,1.22009e+09,3.27186e+09,3.68913e+09,6.51147e+09
33,4.93328e+09,1.27036e+09,3.473e+09,3.834e+09,6.7168e+09
34,5.08283e+09,1.31983e+09,3.67459e+09,3.9735e+09,6.9402e+09
35,5.23216e+09,1.36997e+09,3.87724e+09,4.117e+09,7.16753e+09
36,5.3815e+09,1.42158e+09,4.08204e+09,4.26306e+09,7.39739e+09
37,5.53094e+09,1.47288e+09,4.2879e+09,4.40799e+09,7.6262e+09
38,5.68067e+09,1.52492e+09,4.49491e+09,4.55647e+09,7.85847e+09
39,5.83023e+09,1.5756e+09,4.70338e+09,4.70817e+09,8.09406e+09
40,5.97965e+09,1.62869e+09,4.91537e+09,4.86259e+09,8.30892e+09
41,6.12911e+09,1.68044e+09,5.12835e+09,5.01078e+09,8.54098e+09
42,6.27872e+09,1.73238e+09,5.34361e+09,5.16104e+09,8.77507e+09
43,6.42787e+09,1.78298e+09,5.56085e+09,5.31361e+09,9.01155e+09
