year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,1.49534e+08,3.96559e+06,0,0,7.02335e+07
2,2.99364e+08,1.59614e+07,0,1.44015e+07,1.78226e+08
3,4.49026e+08,3.36683e+07,0,4.77203e+07,3.05107e+08
4,5.98698e+08,5.70668e+07,8.65012e-10,9.97236e+07,4.50724e+08
5,7.47806e+08,8.39406e+07,1.55869e+06,1.68452e+08,6.13197e+08
6,8.9707e+08,1.13915e+08,6.7578e+06,2.51444e+08,7.8993e+08
7,1.04651e+09,1.46508e+08,1.76699e+07,3.46393e+08,9.55269e+08
8,1.1959e+09,1.80981e+08,3.6404e+07,4.45902e+08,1.14849e+09
9,1.3456e+09,2.17879e+08,6.50126e+07,5.52423e+08,1.34872e+09
10,1.49484e+09,2.56092e+08,1.04018e+08,6.65082e+08,1.55516e+09
11,1.64445e+09,2.9505e+08,1.52878e+08,7.83933e+08,1.7677e+09
12,1.79377e+09,3.34432e+08,2.11638e+08,9.08512e+08,1.98595e+09
13,1.94321e+09,3.74702e+08,2.8024e+08,1.03845e+09,2.20954e+09
14,2.09251e+09,4.15737e+08,3.58796e+08,1.17317e+09,2.41447e+09
15,2.24204e+09,4.56826e+08,4.47201e+08,1.30746e+09,2.64244e+09
16,2.39146e+09,4.98821e+08,5.46015e+08,1.44525e+09,2.87408e+09
17,2.54087e+09,5.40336e+08,6.55257e+08,1.58594e+09,3.10841e+09
18,2.69032e+09,5.82641e+08,7.74353e+08,1.7297e+09,3.34598e+09
19,2.83976e+09,6.25499e+08,9.03279e+08,1.87589e+09,3.58583e+09
20,2.98945e+09,6.68297e+08,1.04215e+09,2.02392e+09,3.80413e+09
21,3.13902e+09,7.11002e+08,1.19086e+09,2.16849e+09,4.04244e+09
22,3.28847e+09,7.53987e+08,1.34942e+09,2.31402e+09,4.2816e+09
23,3.43804e+09,7.96552e+08,1.51818e+09,2.4595e+09,4.52087e+09
24,3.58784e+09,8.40103e+08,1.69647e+09,2.60492e+09,4.75986e+09
25,3.73745e+09,8.8356e+08,1.88421e+09,2.74984e+09,4.99846e+09
26,3.88692e+09,9.26232e+08,2.08128e+09,2.89378e+09,5.23607e+09
27,4.03643e+09,9.69557e+08,2.28026e+09,3.0224e+09,5.42509e+09
28,4.18587e+09,1.01528e+09,2.47875e+09,3.14717e+09,5.63369e+09
29,4.33541e+09,1.0613e+09,2.67728e+09,3.27717e+09,5.84754e+09
30,4.48493e+09,1.10813e+09,2.87582e+09,3.41224e+09,6.06649e+09
31,4.48493e+09,1.15057e+09,3.07385e+09,3.54818e+09,6.19258e+09
32,4.48493e+09,1.18575e+09,3.27195e+09,3.66995e+09,6.30447e+09
33,4.48493e+09,1.21701e+09,3.473e+09,3.77688e+09,6.40154e+09
34,4.48493e+09,1.24438e+09,3.6746e+09,3.86469e+09,6.4795e+09
35,4.48493e+09,1.26764e+09,3.8752e+09,3.93997e+09,6.5449e+09
36,4.48493e+09,1.28786e+09,4.07376e+09,4.00427e+09,6.59931e+09
37,4.48493e+09,1.30633e+09,4.26767e+09,4.05555e+09,6.64074e+09
38,4.48493e+09,1.3221e+09,4.45477e+09,4.10116e+09,6.67647e+09
39,4.48493e+09,1.33629e+09,4.63366e+09,4.14282e+09,6.70826e+09
40,4.48493e+09,1.34865e+09,4.80621e+09,4.18071e+09,6.73628e+09
41,4.48493e+09,1.35952e+09,4.96988e+09,4.211e+09,6.7567e+09
42,4.48493e+09,1.37019e+09,5.12529e+09,4.23825e+09,6.77409e+09
43,4.48493e+09,1.37917e+09,5.27237e+09,4.26297e+09,6.78895e+09
44,4.48493e+09,1.38709e+09,5.41067e+09,4.28104e+09,6.79718e+09
45,4.48493e+09,1.39465e+09,5.54062e+09,4.29733e+09,6.8036e+09
46,4.48493e+09,1.40146e+09,5.66473e+09,4.31162e+09,6.80802e+09
47,4.48493e+09,1.40751e+09,5.77999e+09,4.32037e+09,6.80691e+09
48,4.48493e+09,1.41263e+09,5.88652e+09,4.32885e+09,6.80554e+09
49,4.48493e+09,1.41764e+09,5.98472e+09,4.33704e+09,6.80385e+09
50,4.48493e+09,1.42268e+09,6.074e+09,4.34118e+09,6.79813e+09
51,4.48493e+09,1.42696e+09,6.15439e+09,4.34656e+09,6.79364e+09
52,4.48493e+09,1.43093e+09,6.22657e+09,4.35296e+09,6.79018e+09
53,4.48493e+09,1.43459e+09,6.29249e+09,4.36067e+09,6.78803e+09
54,4.48493e+09,1.43805e+09,6.34732e+09,4.36637e+09,6.78386e+09
55,4.48493e+09,1.4411e+09,6.39173e+09,4.37024e+09,6.77785e+09
56,4.48493e+09,1.44405e+09,6.42831e+09,4.377e+09,6.77475e+09
57,4.48493e+09,1.44682e+09,6.46388e+09,4.38564e+09,6.77352e+09
58,4.48493e+09,1.44946e+09,6.49849e+09,4.39141e+09,6.7694e+09
59,4.48493e+09,1.45187e+09,6.53455e+09,4.39855e+09,6.76665e+09
60,4.48493e+09,1.45412e+09,6.56959e+09,4.40769e+09,6.76594e+09
