year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,7.47358e+06,294470,0,0,0
2,1.49462e+07,1.14553e+06,0,923078,923078
3,2.24169e+07,2.39143e+06,0,2.75363e+06,2.75363e+06
4,2.98979e+07,3.92125e+06,5.55138e-11,5.47556e+06,5.47556e+06
5,3.73704e+07,5.63393e+06,99923.8,8.97397e+06,8.97397e+06
6,4.48472e+07,7.50985e+06,400003,1.31305e+07,1.31305e+07
7,5.23228e+07,9.48612e+06,1.00007e+06,1.78285e+07,1.78285e+07
8,5.98004e+07,1.15643e+07,2.00043e+06,2.29495e+07,2.29495e+07
9,6.72761e+07,1.36951e+07,3.50049e+06,2.83744e+07,2.83744e+07
10,7.47508e+07,1.58462e+07,5.50083e+06,3.40816e+07,3.40816e+07
11,8.22256e+07,1.80252e+07,8.00006e+06,4.00536e+07,4.00536e+07
12,8.97001e+07,2.02367e+07,1.09999e+07,4.62694e+07,4.62694e+07
13,9.71738e+07,2.2458e+07,1.44995e+07,5.27055e+07,5.27055e+07
14,1.04647e+08,2.46594e+07,1.84995e+07,5.93418e+07,5.93418e+07
15,1.12123e+08,2.69413e+07,2.29994e+07,6.61514e+07,6.61514e+07
16,1.19602e+08,2.91748e+07,2.79996e+07,7.31124e+07,7.31124e+07
17,1.27074e+08,3.14262e+07,3.34988e+07,8.02006e+07,8.02006e+07
18,1.3455e+08,3.36764e+07,3.94986e+07,8.73915e+07,8.73915e+07
19,1.42027e+08,3.59458e+07,4.5998e+07,9.46585e+07,9.46585e+07
20,1.495e+08,3.8215e+07,5.29976e+07,1.01975e+08,1.01975e+08
21,1.56977e+08,4.04952e+07,6.04974e+07,1.09314e+08,1.09314e+08
22,1.64456e+08,4.27506e+07,6.8491e+07,1.16651e+08,1.16651e+08
23,1.71934e+08,4.50253e+07,7.69748e+07,1.23964e+08,1.23964e+08
24,1.79399e+08,4.72869e+07,8.5942e+07,1.31233e+08,1.31233e+08
25,1.86872e+08,4.95597e+07,9.53884e+07,1.38429e+08,1.38429e+08
26,1.94344e+08,5.31811e+07,1.05306e+08,1.4117e+08,1.3843e+08
27,2.01819e+08,5.70744e+07,1.15223e+08,1.43909e+08,1.38429e+08
28,2.09292e+08,6.11488e+07,1.25139e+08,1.47572e+08,1.3935e+08
29,2.16769e+08,6.53319e+07,1.35055e+08,1.52143e+08,1.41181e+08
30,2.2425e+08,6.96447e+07,1.44973e+08,1.57605e+08,1.43903e+08
31,2.31729e+08,7.39955e+07,1.54991e+08,1.63843e+08,1.474e+08
32,2.39201e+08,7.84257e+07,1.65209e+08,1.70739e+08,1.51555e+08
33,2.46676e+08,8.2861e+07,1.75728e+08,1.78176e+08,1.56251e+08
34,2.54151e+08,8.73247e+07,1.86644e+08,1.8604e+08,1.61375e+08
35,2.61627e+08,9.18056e+07,1.98062e+08,1.94204e+08,1.66799e+08
36,2.69102e+08,9.6311e+07,2.0998e+08,2.02653e+08,1.72507e+08
37,2.76581e+08,1.00822e+08,2.22399e+08,2.11366e+08,1.7848e+08
38,2.84059e+08,1.05356e+08,2.35316e+08,2.20321e+08,1.84695e+08
39,2.91534e+08,1.09868e+08,2.48734e+08,2.29495e+08,1.91128e+08
40,2.99012e+08,1.14381e+08,2.62652e+08,2.38867e+08,1.9776e+08
41,3.06485e+08,1.18921e+08,2.7707e+08,2.48415e+08,2.04568e+08
42,3.13956e+08,1.23457e+08,2.91986e+08,2.58115e+08,2.11528e+08
43,3.21435e+08,1.28011e+08,3.07404e+08,2.67946e+08,2.18618e+08
44,3.28907e+08,1.32552e+08,3.23321e+08,2.77878e+08,2.2581e+08
45,3.36383e+08,1.37114e+08,3.39739e+08,2.87886e+08,2.33078e+08
46,3.43861e+08,1.41632e+08,3.56656e+08,2.97943e+08,2.40395e+08
47,3.51336e+08,1.46164e+08,3.74072e+08,3.08024e+08,2.47735e+08
48,3.58811e+08,1.50729e+08,3.91984e+08,3.18104e+08,2.55076e+08
49,3.66287e+08,1.55289e+08,4.10385e+08,3.28164e+08,2.62396e+08
50,3.73763e+08,1.59829e+08,4.2927e+08,3.38173e+08,2.69665e+08
51,3.81234e+08,1.64353e+08,4.48633e+08,3.48108e+08,2.7686e+08
52,3.88713e+08,1.70277e+08,4.68469e+08,3.53583e+08,2.76854e+08
53,3.96187e+08,1.76485e+08,4.88304e+08,3.59062e+08,2.76852e+08
54,4.03657e+08,1.8282e+08,5.08139e+08,3.65465e+08,2.77774e+08
55,4.11129e+08,1.89249e+08,5.27973e+08,3.72777e+08,2.79606e+08
56,4.18601e+08,1.95746e+08,5.47809e+08,3.8098e+08,2.82328e+08
57,4.26074e+08,2.02284e+08,5.67744e+08,3.8996e+08,2.85827e+08
58,4.3355e+08,2.08856e+08,5.8788e+08,3.99594e+08,2.8998e+08
59,4.41027e+08,2.15439e+08,6.08314e+08,4.09773e+08,2.94677e+08
60,4.48502e+08,2.22068e+08,6.29146e+08,4.20376e+08,2.998e+08
61,4.48502e+08,2.28421e+08,6.50482e+08,4.31281e+08,3.05225e+08
62,4.48502e+08,2.34219e+08,6.72318e+08,4.41552e+08,3.10016e+08
63,4.48502e+08,2.39685e+08,6.94654e+08,4.51172e+08,3.14156e+08
