year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,1.49248e+08,3.99556e+06,0,0,0
2,2.98793e+08,1.55041e+07,0,1.43837e+07,1.43837e+07
3,4.48438e+08,3.27641e+07,0,4.77438e+07,4.77438e+07
4,5.97978e+08,5.55791e+07,8.64619e-10,9.97116e+07,9.97116e+07
5,7.47716e+08,8.20652e+07,1.55988e+06,1.68431e+08,1.68431e+08
6,8.97142e+08,1.12623e+08,6.75741e+06,2.51492e+08,2.51492e+08
7,1.04679e+09,1.45236e+08,1.76809e+07,3.46395e+08,3.46395e+08
8,1.19633e+09,1.80391e+08,3.64062e+07,4.45898e+08,4.45898e+08
9,1.34584e+09,2.15938e+08,6.49959e+07,5.52442e+08,5.52442e+08
10,1.49523e+09,2.543e+08,1.03988e+08,6.6507e+08,6.6507e+08
11,1.64475e+09,2.9328e+08,1.52843e+08,7.83942e+08,7.83942e+08
12,1.79438e+09,3.33181e+08,2.11609e+08,9.08497e+08,9.08497e+08
13,1.94385e+09,3.74417e+08,2.80232e+08,1.03846e+09,1.03846e+09
14,2.09354e+09,4.14404e+08,3.58744e+08,1.17324e+09,1.17324e+09
15,2.24309e+09,4.55877e+08,4.47143e+08,1.30764e+09,1.30764e+09
16,2.39276e+09,4.97893e+08,5.45978e+08,1.44532e+09,1.44532e+09
17,2.5423e+09,5.39393e+08,6.55197e+08,1.58602e+09,1.58602e+09
18,2.69189e+09,5.81251e+08,7.74282e+08,1.72971e+09,1.72971e+09
19,2.84126e+09,6.24446e+08,9.03209e+08,1.87587e+09,1.87587e+09
20,2.99077e+09,6.71728e+08,1.03423e+09,2.00716e+09,1.99707e+09
21,3.14027e+09,7.18576e+08,1.16474e+09,2.13436e+09,2.11418e+09
22,3.2897e+09,7.66363e+08,1.29474e+09,2.26725e+09,2.23697e+09
23,3.43902e+09,8.15298e+08,1.42472e+09,2.40505e+09,2.36467e+09
24,3.58852e+09,8.65514e+08,1.55416e+09,2.54364e+09,2.49318e+09
25,3.73829e+09,9.14013e+08,1.68366e+09,2.68704e+09,2.62648e+09
26,3.88772e+09,9.6508e+08,1.81627e+09,2.83516e+09,2.7645e+09
27,4.03706e+09,1.01527e+09,1.94934e+09,2.98257e+09,2.9018e+09
28,4.18684e+09,1.06546e+09,2.0835e+09,3.12878e+09,3.0379e+09
29,4.3364e+09,1.11809e+09,2.21975e+09,3.27752e+09,3.17652e+09
30,4.48551e+09,1.16906e+09,2.35756e+09,3.4246e+09,3.3135e+09
31,4.48551e+09,1.21581e+09,2.49637e+09,3.57507e+09,3.45386e+09
32,4.48551e+09,1.25441e+09,2.63676e+09,3.70947e+09,3.57816e+09
33,4.48551e+09,1.28801e+09,2.78082e+09,3.82845e+09,3.68705e+09
34,4.48551e+09,1.31658e+09,2.92593e+09,3.92716e+09,3.77565e+09
35,4.48551e+09,1.34229e+09,3.0705e+09,4.01239e+09,3.8508e+09
36,4.48551e+09,1.36509e+09,3.21294e+09,4.08581e+09,3.91414e+09
37,4.48551e+09,1.38651e+09,3.35078e+09,4.14558e+09,3.96383e+09
38,4.48551e+09,1.40499e+09,3.48235e+09,4.1983e+09,4.00646e+09
39,4.48551e+09,1.42152e+09,3.60826e+09,4.24654e+09,4.04458e+09
40,4.48551e+09,1.43635e+09,3.72264e+09,4.28591e+09,4.07386e+09
41,4.48551e+09,1.44999e+09,3.82553e+09,4.31687e+09,4.09473e+09
42,4.48551e+09,1.46232e+09,3.92018e+09,4.34428e+09,4.11203e+09
43,4.48551e+09,1.47431e+09,4.00338e+09,4.36894e+09,4.1266e+09
44,4.48551e+09,1.48504e+09,4.07464e+09,4.38701e+09,4.13456e+09
45,4.48551e+09,1.49554e+09,4.13705e+09,4.40363e+09,4.14109e+09
46,4.48551e+09,1.50565e+09,4.19062e+09,4.42389e+09,4.15126e+09
47,4.48551e+09,1.51546e+09,4.23224e+09,4.43884e+09,4.1561e+09
48,4.48551e+09,1.52479e+09,4.26501e+09,4.45359e+09,4.16075e+09
49,4.48551e+09,1.53394e+09,4.28737e+09,4.4673e+09,4.16434e+09
50,4.48551e+09,1.54286e+09,4.30924e+09,4.47733e+09,4.16428e+09
51,4.48551e+09,1.55162e+09,4.33055e+09,4.48853e+09,4.16538e+09
52,4.48551e+09,1.55956e+09,4.35447e+09,4.50069e+09,4.16745e+09
53,4.48551e+09,1.56768e+09,4.37785e+09,4.50913e+09,4.16581e+09
54,4.48551e+09,1.57617e+09,4.40021e+09,4.51925e+09,4.16584e+09
55,4.48551e+09,1.58411e+09,4.42466e+09,4.53083e+09,4.16732e+09
56,4.48551e+09,1.59148e+09,4.44803e+09,4.53923e+09,4.16563e+09
57,4.48551e+09,1.59896e+09,4.47042e+09,4.54925e+09,4.16555e+09
58,4.48551e+09,1.60643e+09,4.49486e+09,4.56076e+09,4.16697e+09
59,4.48551e+09,1.61367e+09,4.52087e+09,4.56926e+09,4.16537e+09
60,4.48551e+09,1.62092e+09,4.54583e+09,4.57932e+09,4.16532e+09
61,4.48551e+09,1.62819e+09,4.57027e+09,4.58568e+09,4.16159e+09
62,4.48551e+09,1.63536e+09,4.59628e+09,4.59393e+09,4.15975e+09
63,4.48551e+09,1.64223e+09,4.62124e+09,4.6037e+09,4.15943e+09
64,4.48551e+09,1.64912e+09,4.64257e+09,4.60996e+09,4.1556e+09
65,4.48551e+09,1.656e+09,4.66543e+09,4.61828e+09,4.15382e+09
66,4.48551e+09,1.66292e+09,4.68728e+09,4.62825e+09,4.1537e+09
67,4.48551e+09,1.66944e+09,4.70806e+09,4.63522e+09,4.15058e+09
