year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,2.99011e+08,8.41373e+06,0,0,0
2,5.97897e+08,3.1003e+07,0,3.35714e+07,3.35714e+07
3,8.96726e+08,6.61242e+07,0,1.04992e+08,1.04992e+08
4,1.19544e+09,1.13066e+08,2.02065e-09,2.13598e+08,2.13598e+08
5,1.49426e+09,1.66911e+08,3.63792e+06,3.50291e+08,3.50291e+08
6,1.79278e+09,2.26378e+08,1.50774e+07,5.15088e+08,5.15088e+08
7,2.09182e+09,2.91119e+08,3.84806e+07,7.03047e+08,7.03047e+08
8,2.39049e+09,3.59809e+08,7.74816e+07,9.04985e+08,9.04985e+08
9,2.6893e+09,4.32735e+08,1.36234e+08,1.1209e+09,1.1209e+09
10,2.98813e+09,5.0846e+08,2.15276e+08,1.34943e+09,1.34943e+09
11,3.28738e+09,5.86297e+08,3.14062e+08,1.58553e+09,1.58553e+09
12,3.58614e+09,6.65676e+08,4.32629e+08,1.83312e+09,1.83312e+09
13,3.88517e+09,7.47314e+08,5.71463e+08,2.09089e+09,2.09089e+09
14,4.18416e+09,8.29789e+08,7.30061e+08,2.35818e+09,2.35818e+09
15,4.48294e+09,9.12992e+08,9.08404e+08,2.62952e+09,2.62952e+09
16,4.78212e+09,9.97379e+08,1.10699e+09,2.90815e+09,2.90815e+09
17,5.08135e+09,1.08066e+09,1.32595e+09,3.19307e+09,3.19307e+09
18,5.38043e+09,1.16539e+09,1.56457e+09,3.47907e+09,3.47907e+09
19,5.67936e+09,1.251e+09,1.82353e+09,3.76943e+09,3.76943e+09
20,5.97859e+09,1.33577e+09,2.10284e+09,4.06293e+09,4.06293e+09
21,6.27736e+09,1.42222e+09,2.40191e+09,4.35424e+09,4.35424e+09
22,6.57644e+09,1.50747e+09,2.72044e+09,4.64746e+09,4.64746e+09
23,6.87546e+09,1.5939e+09,3.05887e+09,4.94086e+09,4.94086e+09
24,7.17425e+09,1.67979e+09,3.41642e+09,5.22936e+09,5.22936e+09
25,7.47316e+09,1.76655e+09,3.79296e+09,5.51682e+09,5.51682e+09
26,7.77225e+09,1.85253e+09,4.18856e+09,5.8018e+09,5.8018e+09
27,8.07103e+09,1.94326e+09,4.58557e+09,6.07259e+09,6.06273e+09
28,8.37009e+09,2.03343e+09,4.98162e+09,6.34034e+09,6.32062e+09
29,8.66909e+09,2.12672e+09,5.37731e+09,6.61413e+09,6.58453e+09
30,8.96849e+09,2.21851e+09,5.77491e+09,6.89353e+09,6.85406e+09
31,9.26748e+09,2.31216e+09,6.17153e+09,7.16984e+09,7.12049e+09
32,9.56635e+09,2.4053e+09,6.56815e+09,7.4516e+09,7.3924e+09
33,9.86534e+09,2.4992e+09,6.96785e+09,7.73764e+09,7.66857e+09
34,1.01644e+10,2.59316e+09,7.36743e+09,8.01948e+09,7.94054e+09
35,1.04632e+10,2.68867e+09,7.76766e+09,8.30604e+09,8.21724e+09
36,1.07621e+10,2.78418e+09,8.17196e+09,8.59577e+09,8.49712e+09
37,1.10612e+10,2.87853e+09,8.57683e+09,8.88024e+09,8.7717e+09
